Year,CPI
1957,21.477
1958,21.531
1959,21.9
1960,22.431
1961,22.492
1962,22.585
1963,22.623
1964,22.531
1965,22.946
1966,23.3
1967,23.838
1968,24.192
1969,24.815
1970,25.5
1971,26.508
1972,27.238
1973,29.446
1974,38.054
1975,42.092
1976,45.108
1977,49.392
1978,52.531
1979,65.738
1980,86.031
1981,97.715
1982,99.154
1983,99.923
1984,100.923
1985,101.631
1986,88.231
1987,88.585
1988,89.254
1989,94.315
1990,102.092
1991,102.454
1992,103
1993,104.154
1994,104.623
1995,105.238
1996,110.131
1997,111.515
1998,102.877
1999,106.615
2000,124.608
2001,129.292
2002,121.677
2003,136.492
2004,151.392
2005,177.054
2006,196.862
2007,207.723
2008,236.666
2009,193.126
2010,211.449
2011,243.909
2012,246.08
2013,244.409
2014,243.583
2015,202.895
2016,189.535
2017,204.54
2018,219.941
2019,215.294
2020,196.949
2021,205.273
